"SVM ID",Antal,Namn,Exp,Skick,Språk,Signerad,Foil,Bytes,Köpes,Dold,Pris,Valuta
3253976,1,"Trained Armodon",-,n/a,n/a,-,Nej,Ja,Nej,Nej,0,SEK
3253968,1,"Elvish Ranger",-,n/a,n/a,-,Nej,Ja,Nej,Nej,0,SEK
3253977,1,"Vitalizing Wind",-,n/a,n/a,-,Nej,Ja,Nej,Nej,0,SEK
3253978,1,"Woodland Druid",-,n/a,n/a,-,Nej,Ja,Nej,Nej,0,SEK
3253970,1,"Gnarled Mass",-,n/a,n/a,-,-,Ja,Nej,Nej,0,SEK
3253964,1,Memnite,-,n/a,n/a,-,Nej,Ja,Nej,Nej,0,SEK
3253973,1,"Setessan Tactics",-,n/a,n/a,-,Nej,Ja,Nej,Nej,0,SEK
3253971,1,"Harvest Season",-,n/a,n/a,-,-,Ja,Nej,Nej,0,SEK
3253972,1,"Nissa's Pilgrimage",-,n/a,n/a,-,Nej,Ja,Nej,Nej,0,SEK
3253967,1,"Elemental Bond",-,n/a,n/a,-,Nej,Ja,Nej,Nej,0,SEK
3253969,1,Gigantosaurus,-,n/a,n/a,-,-,Ja,Nej,Nej,0,SEK
3253965,1,"Colossal Majesty",-,n/a,n/a,-,-,Ja,Nej,Nej,0,SEK
3253979,1,"Shamanic Revelation",-,n/a,n/a,-,Nej,Ja,Nej,Nej,0,SEK
3253975,1,"Terrain Elemental",-,n/a,n/a,-,Nej,Ja,Nej,Nej,0,SEK
3253966,1,"Curious Herd",-,n/a,n/a,-,-,Ja,Nej,Nej,0,SEK
3253963,1,"Beast Whisperer",-,n/a,n/a,-,-,Ja,Nej,Nej,0,SEK
3253974,1,"Sylvan Anthem",-,n/a,n/a,-,-,Ja,Nej,Nej,0,SEK
